2024-08-29 14:17:48,104 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:48,222 Total fires detected: 0, Current fire count: 0, Max fire box: None, Avg confidence: 0.00, Center position: None
2024-08-29 14:17:49,260 Total fires detected: 2, Current fire count: 2, Max fire box: (458, 4, 1159, 652), Avg confidence: 0.58, Center position: (710, 350)
2024-08-29 14:17:53,896 Total fires detected: 2, Current fire count: 2, Max fire box: (466, 3, 1099, 655), Avg confidence: 0.55, Center position: (793, 302)
2024-08-29 14:17:56,419 Total fires detected: 3, Current fire count: 2, Max fire box: (446, 2, 1095, 620), Avg confidence: 0.00, Center position: (656, 411)
2024-08-29 14:17:58,390 Total fires detected: 3, Current fire count: 2, Max fire box: (446, 2, 1095, 620), Avg confidence: 0.00, Center position: (656, 411)
2024-08-29 14:18:02,514 Total fires detected: 3, Current fire count: 1, Max fire box: (479, 0, 1163, 529), Avg confidence: 0.38, Center position: (821, 264)
2024-08-29 14:18:03,529 Total fires detected: 5, Current fire count: 3, Max fire box: (500, 1, 1186, 363), Avg confidence: 0.39, Center position: (714, 307)
2024-08-29 14:18:04,580 Total fires detected: 5, Current fire count: 3, Max fire box: (479, 9, 1084, 466), Avg confidence: 0.42, Center position: (733, 297)
2024-08-29 14:18:05,616 Total fires detected: 5, Current fire count: 3, Max fire box: (466, 2, 1104, 378), Avg confidence: 0.33, Center position: (729, 292)
2024-08-29 14:18:09,327 Total fires detected: 5, Current fire count: 2, Max fire box: (466, 2, 1124, 423), Avg confidence: 0.35, Center position: (673, 385)
2024-08-29 14:18:10,343 Total fires detected: 7, Current fire count: 4, Max fire box: (471, 1, 1132, 576), Avg confidence: 0.53, Center position: (686, 359)
2024-08-29 14:18:11,400 Total fires detected: 7, Current fire count: 4, Max fire box: (485, 0, 1135, 574), Avg confidence: 0.00, Center position: (741, 295)
2024-08-29 14:18:12,452 Total fires detected: 7, Current fire count: 4, Max fire box: (485, 0, 1135, 574), Avg confidence: 0.42, Center position: (730, 260)
2024-08-29 14:18:13,481 Total fires detected: 8, Current fire count: 5, Max fire box: (485, 0, 1135, 574), Avg confidence: 0.42, Center position: (695, 287)
2024-08-29 14:18:14,527 Total fires detected: 8, Current fire count: 5, Max fire box: (485, 0, 1135, 574), Avg confidence: 0.46, Center position: (710, 275)
2024-08-29 14:18:15,565 Total fires detected: 8, Current fire count: 4, Max fire box: (485, 0, 1135, 574), Avg confidence: 0.33, Center position: (677, 332)
2024-08-29 14:18:16,609 Total fires detected: 8, Current fire count: 3, Max fire box: (387, 31, 683, 295), Avg confidence: 0.27, Center position: (521, 329)
2024-08-29 14:18:17,660 Total fires detected: 8, Current fire count: 3, Max fire box: (421, 4, 766, 426), Avg confidence: 0.34, Center position: (540, 346)
2024-08-29 14:18:18,702 Total fires detected: 8, Current fire count: 3, Max fire box: (285, 2, 1022, 462), Avg confidence: 0.50, Center position: (557, 351)
2024-08-29 14:18:19,711 Total fires detected: 8, Current fire count: 3, Max fire box: (353, 4, 814, 475), Avg confidence: 0.30, Center position: (533, 353)
2024-08-29 14:18:20,731 Total fires detected: 8, Current fire count: 2, Max fire box: (222, 0, 795, 472), Avg confidence: 0.65, Center position: (486, 302)
2024-08-29 14:18:21,753 Total fires detected: 9, Current fire count: 3, Max fire box: (247, 1, 840, 381), Avg confidence: 0.35, Center position: (636, 358)
